task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	6d/6e2ae7	36696950	NF_VEP:vep:checkVCF (1)	COMPLETED	0	2025-03-24 12:54:14.827	36.7s	327ms	31.9%	3.5 MB	7.4 MB	4.6 MB	251.1 KB
2	72/2bec96	36696998	NF_VEP:vep:generateSplits (1)	COMPLETED	0	2025-03-24 12:54:52.388	5m 9s	4m 35s	96.8%	24.6 MB	73.2 MB	13 GB	2 GB
33	38/3625bd	36697985	NF_VEP:vep:splitVCF (31)	COMPLETED	0	2025-03-24 13:00:07.201	15m 9s	15m 1s	98.9%	26.5 MB	68.1 MB	11.7 GB	38.4 MB
49	d9/e553c6	36698007	NF_VEP:vep:splitVCF (47)	COMPLETED	0	2025-03-24 13:00:09.079	15m 33s	14m 57s	98.9%	26.5 MB	68.1 MB	11.7 GB	38.1 MB
58	f5/0e375d	36698016	NF_VEP:vep:splitVCF (56)	COMPLETED	0	2025-03-24 13:00:09.930	15m 32s	15m 3s	98.9%	26.5 MB	68.1 MB	11.7 GB	39.3 MB
69	26/934973	36698032	NF_VEP:vep:splitVCF (67)	COMPLETED	0	2025-03-24 13:00:11.305	15m 31s	14m 51s	99.0%	26.5 MB	68.1 MB	11.7 GB	38 MB
82	97/05cd5d	36698051	NF_VEP:vep:splitVCF (80)	COMPLETED	0	2025-03-24 13:00:12.631	15m 44s	15m 29s	95.2%	26.6 MB	68.1 MB	11.7 GB	38.2 MB
21	c3/b6890d	36697936	NF_VEP:vep:splitVCF (19)	COMPLETED	0	2025-03-24 13:00:05.576	16m 11s	15m 58s	99.1%	26.5 MB	68.1 MB	11.7 GB	38.8 MB
24	4f/52739c	36697957	NF_VEP:vep:splitVCF (22)	COMPLETED	0	2025-03-24 13:00:06.144	16m 10s	16m 4s	97.8%	26.4 MB	68.1 MB	11.7 GB	39.2 MB
42	72/3a9614	36697998	NF_VEP:vep:splitVCF (40)	COMPLETED	0	2025-03-24 13:00:08.336	16m 8s	16m 5s	97.2%	26.4 MB	68.1 MB	11.7 GB	38.5 MB
44	42/2aa6d9	36698001	NF_VEP:vep:splitVCF (42)	COMPLETED	0	2025-03-24 13:00:08.561	16m 8s	16m 5s	97.4%	26.5 MB	68.1 MB	11.7 GB	38.2 MB
43	58/3006d0	36698000	NF_VEP:vep:splitVCF (41)	COMPLETED	0	2025-03-24 13:00:08.484	16m 8s	16m 5s	97.3%	26.6 MB	68.1 MB	11.7 GB	38.3 MB
81	4f/cc427f	36698048	NF_VEP:vep:splitVCF (79)	COMPLETED	0	2025-03-24 13:00:12.441	16m 9s	15m 37s	99.0%	26.7 MB	68.1 MB	11.7 GB	38.8 MB
83	be/104600	36698052	NF_VEP:vep:splitVCF (81)	COMPLETED	0	2025-03-24 13:00:12.744	16m 9s	15m 29s	95.2%	26.4 MB	68.1 MB	11.7 GB	38.1 MB
87	aa/ec268b	36698055	NF_VEP:vep:splitVCF (85)	COMPLETED	0	2025-03-24 13:00:13.120	16m 9s	15m 33s	96.0%	26.5 MB	68.1 MB	11.7 GB	38.8 MB
86	05/0dfe13	36698056	NF_VEP:vep:splitVCF (84)	COMPLETED	0	2025-03-24 13:00:13.207	16m 8s	15m 33s	96.0%	26.4 MB	68.1 MB	11.7 GB	38.9 MB
88	cc/caf718	36698057	NF_VEP:vep:splitVCF (86)	COMPLETED	0	2025-03-24 13:00:13.280	16m 8s	15m 33s	96.2%	26.4 MB	68.1 MB	11.7 GB	38.6 MB
89	6f/49fbe1	36698058	NF_VEP:vep:splitVCF (87)	COMPLETED	0	2025-03-24 13:00:13.408	16m 8s	15m 33s	96.1%	26.5 MB	68.1 MB	11.7 GB	38.9 MB
5	0f/c31757	36697917	NF_VEP:vep:splitVCF (3)	COMPLETED	0	2025-03-24 13:00:02.373	16m 39s	16m 8s	97.8%	26.4 MB	68.1 MB	11.7 GB	38.3 MB
19	61/3a71b3	36697932	NF_VEP:vep:splitVCF (17)	COMPLETED	0	2025-03-24 13:00:05.315	16m 36s	16m 6s	97.7%	26.4 MB	68.1 MB	11.7 GB	38.9 MB
68	8c/0d80a7	36698030	NF_VEP:vep:splitVCF (66)	COMPLETED	0	2025-03-24 13:00:11.207	16m 31s	16m 21s	99.2%	26.4 MB	68.1 MB	11.7 GB	38.6 MB
75	d0/07ddb1	36698042	NF_VEP:vep:splitVCF (73)	COMPLETED	0	2025-03-24 13:00:11.838	16m 30s	16m 8s	99.1%	26.5 MB	68.1 MB	11.7 GB	38.6 MB
77	d9/d594aa	36698045	NF_VEP:vep:splitVCF (75)	COMPLETED	0	2025-03-24 13:00:12.123	16m 30s	16m 1s	99.1%	26.5 MB	68.1 MB	11.7 GB	38.9 MB
80	f3/644f47	36698049	NF_VEP:vep:splitVCF (78)	COMPLETED	0	2025-03-24 13:00:12.532	16m 29s	16m 19s	98.8%	26.5 MB	68.1 MB	11.7 GB	39.2 MB
84	bd/1fce3c	36698054	NF_VEP:vep:splitVCF (82)	COMPLETED	0	2025-03-24 13:00:12.989	16m 29s	15m 45s	99.4%	26.4 MB	69.1 MB	11.7 GB	38.2 MB
92	a3/5b71a9	36698061	NF_VEP:vep:splitVCF (90)	COMPLETED	0	2025-03-24 13:00:13.790	16m 28s	16m 12s	99.0%	26.6 MB	68.1 MB	11.7 GB	39 MB
25	59/adfcd8	36697953	NF_VEP:vep:splitVCF (23)	COMPLETED	0	2025-03-24 13:00:06.005	16m 46s	16m 32s	97.0%	26.9 MB	69.1 MB	11.7 GB	38 MB
28	7b/f8ae9f	36697980	NF_VEP:vep:splitVCF (26)	COMPLETED	0	2025-03-24 13:00:06.805	16m 45s	16m 23s	94.9%	26.5 MB	68.1 MB	11.7 GB	38.3 MB
30	43/34dd21	36697981	NF_VEP:vep:splitVCF (28)	COMPLETED	0	2025-03-24 13:00:06.909	16m 45s	16m 23s	94.8%	26.4 MB	68.1 MB	11.7 GB	38.7 MB
46	01/0f91bc	36698004	NF_VEP:vep:splitVCF (44)	COMPLETED	0	2025-03-24 13:00:08.888	16m 43s	16m 33s	99.0%	26.8 MB	68.1 MB	11.7 GB	38.4 MB
55	9e/f6f6d7	36698013	NF_VEP:vep:splitVCF (53)	COMPLETED	0	2025-03-24 13:00:09.669	16m 52s	16m 45s	95.2%	26.4 MB	68.1 MB	11.7 GB	38.9 MB
57	1c/9447a2	36698014	NF_VEP:vep:splitVCF (55)	COMPLETED	0	2025-03-24 13:00:09.770	16m 52s	16m 45s	95.2%	26.5 MB	68.1 MB	11.7 GB	38.8 MB
70	ca/99c4a2	36698034	NF_VEP:vep:splitVCF (68)	COMPLETED	0	2025-03-24 13:00:11.419	16m 50s	16m 44s	98.9%	26.7 MB	69.1 MB	11.7 GB	38 MB
72	b1/98cd30	36698038	NF_VEP:vep:splitVCF (70)	COMPLETED	0	2025-03-24 13:00:11.593	16m 50s	16m 30s	99.2%	26.6 MB	68.1 MB	11.7 GB	38.6 MB
74	ff/4f163d	36698043	NF_VEP:vep:splitVCF (72)	COMPLETED	0	2025-03-24 13:00:11.930	16m 50s	16m 39s	98.2%	26.4 MB	68.1 MB	11.7 GB	38.4 MB
76	ee/4c83d1	36698044	NF_VEP:vep:splitVCF (74)	COMPLETED	0	2025-03-24 13:00:12.003	16m 50s	16m 39s	98.2%	26.3 MB	68.1 MB	11.7 GB	38.8 MB
31	e5/f9f805	36697982	NF_VEP:vep:splitVCF (29)	COMPLETED	0	2025-03-24 13:00:07.092	17m 14s	17m 6s	97.1%	26.5 MB	68.1 MB	11.7 GB	38.1 MB
35	02/061ca9	36697989	NF_VEP:vep:splitVCF (33)	COMPLETED	0	2025-03-24 13:00:07.449	17m 14s	17m 8s	98.2%	26.4 MB	70.1 MB	11.7 GB	38.1 MB
