assembly_accession    wgs_set study_accession study_title read_accession  number_of_files:instrument_model:library_layoutlibrary_strategy
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652258	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652262	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652264	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652267	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652269	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652270	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652302	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652304	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652305	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652327	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652339	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652342	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652346	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652348	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652354	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652442	 2:Illumina HiSeq 2000:PAIRED:WGS
