population	assembly_accession	wgs_set_name	study_accession	study_title	sample_accession	run_accession	fastq_bytes	number_of_files	instrument_model	library_layout	library_strategy
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894345	SRR652257	0.008680649399138929	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894346	SRR652258	0.010185438212829467	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894349	SRR652259	0.008899129984456522	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894360	SRR652260	0.01190437592958915	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894361	SRR652261	0.011983611458163068	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894367	SRR652262	0.013488717968357378	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894368	SRR652263	0.010528488744967035	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894369	SRR652264	0.008667176937706245	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894370	SRR652265	0.014395101419722778	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894386	SRR652266	0.010072009637951851	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894387	SRR652267	0.007778923491969181	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894388	SRR652268	0.01571460910690803	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894389	SRR652269	0.011002929225469416	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894390	SRR652270	0.01028060066710168	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894391	SRR652302	0.015119109520128404	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894392	SRR652303	0.012327307592386205	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894393	SRR652304	0.009407953963091131	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894394	SRR652305	0.012344810824288288	2	Illumina HiSeq 2000	PAIRED	WGS
